lang,direction,mode,split,bleu,chrf,comet22,kiwi23,num_sentences
de,en2x,pruned,test,3.10,23.42,0.4354,0.1501,960
de,x2en,pruned,test,15.28,41.39,0.7006,0.5515,960
ru,en2x,pruned,test,2.12,19.62,0.4783,0.1738,960
ru,x2en,pruned,test,10.09,35.38,0.6369,0.4527,960
fr,en2x,pruned,test,7.65,29.34,0.5093,0.1863,1920
fr,x2en,pruned,test,14.07,39.08,0.6539,0.4314,1920
nl,en2x,pruned,test,4.17,24.28,0.5047,0.1962,960
nl,x2en,pruned,test,18.35,44.34,0.7232,0.6029,960
pl,en2x,pruned,test,1.26,16.32,0.4354,0.1298,960
pl,x2en,pruned,test,12.26,39.49,0.6704,0.5034,960
lv,en2x,pruned,test,0.22,7.75,0.3109,0.0235,960
lv,x2en,pruned,test,9.78,35.34,0.6386,0.4520,960
zu,en2x,pruned,test,1.10,16.98,0.4455,0.1599,960
zu,x2en,pruned,test,12.10,35.55,0.6124,0.4344,960
te,en2x,pruned,test,0.44,12.43,0.4001,0.1907,960
te,x2en,pruned,test,9.84,35.32,0.6779,0.5440,960
sw,en2x,pruned,test,2.39,21.88,0.5276,0.1826,1920
sw,x2en,pruned,test,9.52,32.77,0.6151,0.4615,1920
