lang,direction,mode,split,bleu,chrf,comet22,kiwi23,num_sentences
de,en2x,pruned,test,25.47,52.28,0.7580,0.6531,960
de,x2en,pruned,test,31.33,56.59,0.8111,0.7850,960
ru,en2x,pruned,test,20.31,45.11,0.7636,0.6318,960
ru,x2en,pruned,test,24.32,50.23,0.7672,0.7423,960
fr,en2x,pruned,test,33.38,56.82,0.7586,0.6270,1920
fr,x2en,pruned,test,37.19,60.77,0.8169,0.7730,1920
nl,en2x,pruned,test,25.70,50.67,0.7757,0.6435,960
nl,x2en,pruned,test,33.19,58.11,0.8220,0.8069,960
pl,en2x,pruned,test,14.89,39.86,0.7663,0.5749,960
pl,x2en,pruned,test,26.74,54.06,0.7862,0.6959,960
lv,en2x,pruned,test,16.43,41.71,0.7274,0.4545,960
lv,x2en,pruned,test,25.62,51.11,0.7738,0.6999,960
zu,en2x,pruned,test,26.39,60.77,0.7814,0.5789,960
zu,x2en,pruned,test,35.07,56.91,0.7645,0.6124,960
te,en2x,pruned,test,11.88,45.03,0.7383,0.6014,960
te,x2en,pruned,test,24.14,48.77,0.8192,0.6807,960
sw,en2x,pruned,test,22.12,51.16,0.7188,0.5339,1920
sw,x2en,pruned,test,31.73,55.02,0.7874,0.7392,1920
